Sanskrit Word,Transliteration,Meaning,Page Number
सभा,sabhaa,assembly,197
सभासद,sabhaasada,literally one who sits in the assembly,197
सम,sama,Equal,197
समं,samaM,in equanimity,197
समंतात्‌,sama.ntaat.h,from all around,197
समः,samaH,equipoised,197
समकोनासन,samakonaasana,the sideways leg-splits posture,197
समग्रान्‌,samagraan.h,all,197
समघनता,samaghanataa,isodensity,197
समचित्तः,samachittaH,equal minded or equanimity,197
समचित्तत्वं,samachittatvaM,equilibrium,197
समचुम्बकशील,samachumbakashiila,isoclinic,197
समतल,samatala,Level surface,197
समता,samataa,equilibrium,197
समतित्य,samatitya,transcending,197
समतीतानि,samatiitaani,completely past,198
समतोल,samatola,equillibrium,198
समत्वं,samatvaM,equanimity,198
समद,samada,furious,198
समदशंनः,samadarshanaH,seeing equally,198
समदशिंनः,samadarshinaH,who see with equal vision,198
समधिगच्छति,samadhigachchhati,attains,198
समन्ततः,samantataH,from all sides,198
समन्तात्‌,samantaat.h,everywhere,198
समन्वयः,samanvayaH,co-ordination,198
समन्वितः,samanvitaH,qualified,198
समप्रतिद्रव्य,samapratidravya,isoantibody,198
समबाह्याङ्ग,samabaahyaa.nga,isocortex,198
समबुद्धयः,samabuddhayaH,equally disposed,198
समबुद्धिः,samabuddhiH,having equal intelligence,198
समभार,samabhaara,isobaric,198
समभारिक,samabhaarika,isobar,198
समभुजीय,samabhujiiya,equilateral,198
समय,samaya,time,198
समचां,samarchaa,well worshipped,198
समवणिंक,samavarNika,isochromatic,198
समवर्तताग्रे,samavartataagre,was there before,198
समवस्थितं,samavasthitaM,equally situated,198
समवायः,samavaayaH,company,198
समवृत्ती,samavRittii,equally long inhalation or  exhalation or suspension,198
समवेताः,samavetaaH,assembled,198
समवेतान्‌,samavetaan.h,assembled,198
समव्यासिक,samavyaasika,isodiametric,198
समसंलग्नक,samasa.nlagnaka,isoagglutinative,198
समस्त,samasta,all,198
समस्तं,samastaM,entire,198
समस्ताः,samastaaH,all; the entire,198
समस्थिती,samasthitii,standing still,198
समाः,samaaH,like,198
समागताः,samaagataaH,assembled,198
समाचर,samaachara,do perfectly,198
समाचरन्‌,samaacharan.h,practicing,198
समाज,samaaja,Society,199
समाजतन्त्र,samaajatantra,democratic,199
समाजसेवा,samaajasevaa,social service benefiting society,199
समाधातु,samaadhaatuM,to fix,199
समाधाय,samaadhaaya,fixing,199
समाधिना,samaadhinaa,by complete absorption,199
समाधिविधान,samaadhividhaana,in the state of trance,199
समाधिस्थस्य,samaadhisthasya,of one situated in trance,199
समाधी,samaadhii,state where the aspirant is one with the object of his meditation,199
समाधौ,samaadhau,in the controlled mind,199
समान,samaana,identical or  likeness or comparable,199
समानाः,samaanaaH, are equal,199
समायुक्तः,samaayuktaH,keeping in balance,199
समारम्भाः,samaarambhaaH,attempts,199
समारोहः,samaarohaH, function,199
समाविष्टः,samaavishhTaH,absorbed,199
समावृतः,samaavRitaH,covered,199
समास,samaasa,compound word,199
समासतः,samaasataH,in summary,199
समासेन,samaasena,in summary,199
समाहतं,samaahartuM,in destroying,199
समाहित,samaahita, content or  satisfied,199
समाहितः,samaahitaH,approached completely,199
समितिञ्जयः,samitiJNjayaH,always victorious in battle,199
समिती,samitii,committee,199
समिद्धः,samiddhaH,blazing,199
समीकरः,samiikaraH, electric iron,199
समीकरण,samiikaraNa,equation,199
समीपस्थ,samiipastha,nearby,199
समीपे,samiipe,near,199
समीक्ष्‌,samiikSh.h,to examine,199
समीक्ष्य,samiikShya,after seeing,199
समुत्थेन,samutthena,arisen from,199
समुत्पन्न,samutpanna,arisen,199
समुदाय,samudaaya,assembled crowd,199
समुदायः,samudaayaH, community,199
समुदित,samudita, flourishing,199
समुद्धता,samuddhartaa,the deliverer,199
समुडवं,samudbhavaM,directly manifested,199
समुद्धवः,samudbhavaH,born of,200
समुद्धवान्‌,samudbhavaan.h,produced of,200
समुद्यमे,samudyame,in the attempt,200
समुद्र,samudra,sea,200
समुद्रपर्यन्ता,samudraparyantaa,bounded by ocean,200
समुद्र,samudraM,the ocean,200
समुद्रेषु,samudreshhuu,among the oceans,200
समुन्नति,samunnati,prosperity,200
समुपवृत्‌,samupavRit.h,Thus,200
समुपस्थित,samupasthita,present,200
समुपस्थितं,samupasthitaM,present,200
समुपाभितः,samupaashritaH,having taken shelter of,200
समुह,samuha, group,200
समुहे,samuhe,in group,200
समूह्‌,samuuha,a multitude or crowd,200
समृद्ध,samRiddha,with full,200
समृद्ध,samRiddhaM,flourishing,200
समृद्धवेगः,samRiddhavegaH,with full speed,200
समे,same,in equanimity,200
समेतं,sametaM,come together with,200
समौ,samau,in suspension,200
सम्पत्‌,sampat.h,assets,200
सम्पत्ति,sampatti,prosperity,200
सम्पदं,sampadaM,assets,200
सम्पद्यते,sampadyate,he attains,200
सम्पन्न,sampanna,endowed with,200
सम्पन्ने,sampanne,fully equipped,200
सम्पकं,samparka,contact,200
सम्पश्यन्‌,sampashyan.h,considering,200
सम्पादक,sampaadaka, editor,200
सम्पादकः,sampaadakaH, editor,200
सम्पादन,sampaadana,editting,200
सम्पादिका,sampaadikaa, editor,200
सम्पीडकः,sampiiDakaH,compressor,200
सम्पुष्टिः,sampushhTiH, corroboration,200
सम्पूणं,sampuurNa,full,200
सम्प्रकीतिंतः,samprakiirtitaH,is declared,200
सम्प्रतिष्ठा,sampratishhThaa,the foundation,200
सम्प्रपद्‌,samprapad.h,to become,200
सम्प्रवृत्तानि,sampravRittaani,although developed,200
सम्प्रेक्ष्य,samprekShya,looking,200
सम्प्लुतोदके,samplutodake,in a great reservoir of water,200
सम्बन्ध,sambandha,Full relationship between planets,200
सम्बन्धिनः,sambandhinaH,relatives,201
सम्भव,sambhava,birth,201
सम्भवं,sambhavaM,born of,201
सम्भवः,sambhavaH,production,201
सम्भवति,sambhavati,occur or arise,201
सम्भवन्ति,sambhavanti,they appear,201
सम्भवाः,sambhavaaH,produced of,201
सम्भवान्‌,sambhavaan.h,produced of,201
सम्भवामि,sambhavaami,I do incarnate,201
सम्भावितस्य,sambhaavitasya,for a respectable man,201
सम्भूतं,sambhuutaM,arisen kim,201
सम्मजनी,sammarjanii, broom,201
सम्मूढ,sammuuDha,bewildered,201
सम्मूढाः,sammuuDhaaH,befooled by material identification,201
सम्मेलनं,sammelanaM,conference,201
सम्मोहं,sammohaM,into delusion,201
सम्मोहः,sammohaH,perfect illusion,201
सम्यक्‌,samyak.h,proper,201
सम्यग्म्राहुयित्वा,samyaggraahayitvaa,well captured,201
सरः,saraH, lake,201
सरति,sarati,to go,201
सरल,sarala,straight or candid,201
सरस्‌,saras.h,lake,201
सरस,sarasa,Excellent,201
सरसां,sarasaaM,of all reservoirs of water,201
सरसान्गयष्थी,sarasaangayashhthii,she whose body is like a stick,201
सरस्वति,sarasvati,goddess of speech and learning,201
सरिता,saritaa,river,201
सरोज,saroja,lotus ,201
सरोवरम्‌,sarovaram.h,lake,201
सगांणां,sargaaNaaM,of all creations,201
सर्गे,sarge,while taking birth,201
सर्गेऽपि,sarge.api,even in the creation,201
सपं,sarpa,snake,201
सवं,sarva,all,201
सवं,sarvaM,all,201
सवकम,sarvakarma,of all activities,201
सवंकमाणि,sarvakarmaaNi,all reactions to material activities,201
सवकारः,sarvakaaraH,coalition,201
सवंगुह्यतमं,sarvaguhyatamaM,the most confidential of all,202
सवंजगत्‌,sarvajagat.h,the eentire world,202
सवतो,sarvato,from all ,202
सवत्र,sarvatra,everywhere,202
सवंत्रगं,sarvatragaM,all-pervading,202
सवथा,sarvathaa,in all respects,202
सवदा,sarvadaa,always,202
सर्वदेहिनां,sarvadehinaaM,of all embodied beings,202
सवंद्वाराणि,sarvadvaaraaNi,all the doors of the body,202
सर्वद्वारेषु,sarvadvaareshhu,in all the gates,202
सवंधनुष्मताम्‌,sarvadhanushhmataam.h,of all shooters ,202
सवंधमांन्‌,sarvadharmaan.h,all varieties of religion,202
सर्वभावेन,sarvabhaavena,in all respects,202
सवभूत,sarvabhuuta,to all living entities,202
सवंभूतस्थं,sarvabhuutasthaM,situated in all beings,202
सवंभूतस्थितं,sarvabhuutasthitaM,situated in everyone’s heart,202
सर्वभूतहिते,sarvabhuutahite,for the welfare of all living entities,202
सवभूतानां,sarvabhuutaanaaM,of all living entities,202
सर्वभूतानि,sarvabhuutaani,all created entities,202
सवंभूतानी,sarvabhuutaanii,all living entities,202
सर्वभूतेषु,sarvabhuuteshhu,among all living beings,202
सवंभृत्‌,sarvabhRit.h,the maintainer of everyone,202
सर्वमतेन,sarvamatena,according to all schools of thought  or unanimously,202
सर्वयोनिषु,sarvayonishhu,in all species of life,202
सवलोक,sarvaloka,of all planets and the demigods thereof,202
सवंवित्‌,sarvavit.h,the knower of everything,202
सवंसङ्कुल्प,sarvasa.nkalpa,of all material desires,202
सवंसम्मतिः,sarvasammatiH,unanimity,202
सर्वस्मिन्नपि,sarvasminnapi,in all beings,202
सवस्य,sarvasya,of everyone,202
सवंस्वं,sarvasvaM,all of one’s belongings or  holding,202
सवहरः,sarvaharaH,all-devouring,202
सवेज्ञान,sarvaGYaana,in all sorts of knowledge,202
स्वाः,sarvaaH,all,202
सवांङ्ासन,sarvaa.ngaasana,the shoulderstand posture,203
सर्वाणि,sarvaaNi,all,203
सवान्‌,sarvaan.h,all kinds of,203
सर्वारम्भ,sarvaarambha,of all endeavours,203
सवांरम्भः,sarvaarambhaH,all ventures,203
सवाथ,sarvaartha,for all worthy or meaningful or riches,203
सवांधांन्‌,sarvaarthaan.h,all things,203
सर्वेभ्यः,sarvebhyaH,of all,203
सर्वेषां,sarveshhaaM,all,203
सर्वेषु,sarveshhu,in all the,203
सर्वैः,sarvaiH,all,203
सलक्ष्मणः,salakShmaNaH,with LakshmaNa,203
सलिल,salila,water,203
सविकारं,savikaaraM,with interactions,203
सविचार,savichaara,investigational meditation,203
सवितकं,savitarka,inspectional meditation,203
सवित,savitRi,a name of Sun,203
सव्यसाचिन्‌,savyasaachin.h, O Savyasaci,203
सशत्र,sashatra,with weapons or armed,203
सशर,sasharaM,along with arrows,203
सस्य,sasya,grain,203
सहश,saha.nsha,Special positions or points signifying important events in life or They are somewhat similar to arabic parts,203
सहः,sahaH,force or strangth,203
सहकाय,sahakaaryaM,co-operation,203
सहज,sahaja,the karma to which one is born,203
सहजभाव,sahajabhaava,House of Siblings or 3rd,203
सहजं,sahajaM,born simultaneously,203
सहते,sahate, to bear,203
सहदेवः,sahadevaH,Sahadeva,203
सहनववतु,sahanavavatu,protect,203
सहनौ,sahanau,together us,203
सहयोगः,sahayogaH, colloboration,203
सहसा,sahasaa,hastily or  perforce,203
सहस्रकृत्वः,sahasrakRitvaH,a thousand times,203
सहस्रपात्‌,sahasrapaat.h,thousand-footed,204
सहस्रशः,sahasrashaH,thousands,204
सहुखशीर्षां,sahasrashiirshhaa,thousand-headed,204
सहस्रस्य,sahasrasya,of many thousands,204
सहखान्तां,sahasraantaaM,similarly or  ending after one thousand,204
सहस्रार,sahasraara,the thousand-petalled lotus within the cerebral cavity,204
सहस्रेण,sahasreNa,by thousand,204
सहस्रेषु,sahasreshhu,out of many thousands,204
सहाय,sahaaya,helper or friend,204
सहासं,sahaasaM,with smile,204
सहितं,sahitaM,with,204
सक्षी,sakShii,witness,204
सङ्गोष्टी,sa NgoshhTii,symposium,204
सञ्खनकः,sa nghanakaH, condenser,204
सा,saa,that is,204
सांप्रतं,saaMprataM, now,204
सांस्कृतिक,saa.nskRitika,cultural,204
साकं,saakaM,with,204
सागरं,saagaraM,ocean,204
सागरः,saagaraH,the ocean,204
साङ्कयं,saa.nkhyaM,analytical study,204
साङ्कययोग,saa.nkhyayoga,the yoga of science,204
साङ्कयानां,saa.nkhyaanaaM,of the empiric philosophers,204
साङ्खयेन,saa.nkhyena,of philosophical discussion,204
साज्यसमिदिः,saajyasamidbhiH,with ghee  and  samidhaa sticks,204
साटोप,saaTopa, proud,204
साडेसाति,saaDesaati,"Saturn’s transit of the lunar 12, 1,2 houses or one should also judge the whole chart and see whether there is real malevolence to this transit",204
सात्त्विक,saattvika,to one in goodness,204
सात्त्विकं,saattvikaM,in the mode of goodness,204
सात्त्विकः,saattvikaH,in the mode of goodness,204
सात्विकाः,saattvikaaH,in goodness,204
सात्त्विकी,saattvikii,in the mode of goodness,204
सात्यकिः,saatyakiH,Satyaki the same as Yuyudhana or the charioteer of Lord KRishhNa,205
सात्विकं,saatvika,Pure Planets that is Waxing Moon and Jupiter and Mercury,205
साधक,saadhaka,an aspirant or seeker,205
साधकं,saadhakaM,means,205
साधन,saadhana,instrument,205
साधना,saadhanaa,practice or a quest,205
साधयेत्‌,saadhayet.h,achieves,205
साधम्यं,saadharmyaM,same nature,205
साधिभूत,saadhibhuuta,and the governing principle of the material manifestation,205
साधियज्ञं,saadhiyaG YaM,and governing all sacrifices,205
साघु,saadhu,good man,205
साधुः,saadhuH,a saint,205
साधुभावे,saadhubhaave,in the sense of the nature of the devotee,205
साधुषु,saadhushhu,unto the pious,205
साधूनां,saadhuunaaM,of the devotees,205
साध्वी,saadhvii,feminine form of saadhu ie  or a virtuos person  ,205
सान्त्वयति,saantvayati, to console,205
साम,saama,the Sama Veda,205
सामथ्यं,saamarthyaM,capacity or strength,205
सामवेदः,saamavedaH,the Sama Veda,205
सामानि,saamaani,the Sama Veda,205
सामान्य,saamaanya,common,205
सामासिकस्य,saamaasikasya,of compounds,205
साम्नं,saamnaM,of the Sama Veda songs,205
साम्यवादः,saamyavaadaH, communism,205
साम्ये,saamye,in equanimity,205
साम्येन,saamyena,generally,205
साम्राज्य,saamraajya,universal soverignty,205
सायं,saayaM,evening,205
सायंप्रातः,saayaMpraataH,both evening & morning,205
सायन,saayana,The Tropical Zodiac with precession,205
सायमधीयानो,saayamadhiiyaano,evening studied man,205
सार,saara,essence,205
सारिका,saarikaa,a bird  nightingale ,205
साथवाह,saarthavaaha,a merchant,205
सार्वभौम,saarvabhauma,of the whole earth,205
सावांयुष,saarvaayushha,of full life span,205
सालम्ब,saalamba,supported,205
सालम्बसवाँङ्गासन,saalambasarvaa.ngaasana,the supported shoulderstand posture,205
सावघान,saavadhaana,attention,205
साहङ्कारेण,saaha.nkaareNa,with ego,205
साहस,saahasa,adventure,206
साहसे,saahase,in bravery or adventure,206
साहास्यक,saahaayyaka, assitant  or  helper,206
साहित्य,saahitya,literature,206
साक्षात्‌,saakShaat.h,directly,206
सिंहः,sinhaH, lion,206
सिंहनादं,sinhanaadaM,roaring sound or like that of a lion,206
सिंहासन,sinhaasana,the lion posture,206
सिंहासनम्‌,sinhaasanam.h, throne,206
सिकता,sikataa,salt,206
सिक्त,sikta,sprayed,206
सिक्थं,sikthaM, wax,206
सिक्थवतिंका,sikthavartikaa,candle,206
सिञ्चति,siJNchati,to sprinkle,206
सिद्ध्यसिद्ध्योः,sid. hdhyasid.hdhyoH,in success and failure,206
सिद्ध,siddha,a prophet or adept or ever ready or having psychic power,206
सिद्धयः,siddhayaH,great achievements including mystic powers,206
सिद्धये,siddhaye,for perfection,206
सिद्धसङ्काः,siddhasa.nghaaH,perfect beings,206
सिद्धाश,siddhaa.nsha,A Varga  The 24th Harmonic Chart or used in delineating spritual gifts,206
सिद्धानां,siddhaanaaM,of those who have achieved perfection,206
सिद्धान्त,siddhaanta,thesis,206
सिद्धासन,siddhaasana,the adept’s posture,206
सिद्धि,siddhi,success or achievement,206
सिद्धि,siddhiM,powers,206
सिद्धिः,siddhiH,success,206
सिद्धी,siddhii,a psychic power,206
सिद्धौ,siddhau,in success,206
सिध्‌,sidh.h,to be accomplished,206
सिधमंत्रो,sidhama.ntro,having got the effect of the mantra,206
सिध्द,sidhda,accomplished,206
सिध्यंति,sidhya.nti,materialise,206
सिध्यति,sidhyati,to reach,206
सिन्धुः,sindhuH,ocean,206
सीकता,siikataa, sand,206
सीता,siitaa,the wife of Rama,206
सीतापतिः,siitaapatiH,the husband or lord of sItA,207
सीदति,siidati,to sit,207
सीदन्ति,siidanti,are quivering,207
सीमा,siimaa,limit or boundary,207
सीमाशुल्कं,siimaashulkaM,customs duty,207
सीव्यति,siivyati,to sew,207
सीसं,siisaM,lead ,207
सु,su,good or  used as a prefix,207
सुन्दर,sundara,beautiful or lovely or handsome or charming,207
सुन्दरी,sundarii,beautiful woman,207
सुवृतस्ततत्व॒,suvRit-tattva,the principle of goodness,207
सुंदरम्‌,su.ndaram.h,the handsome one,207
सुःऋद्‌,suHRid.h,affectionate,207
सुकर,sukara,easy,207
सुकुमारौ,sukumaarau, handsome young lads,207
सुकृतं,sukRitaM,pious activities,207
सुकृतदुष्कृते,sukRitadushhkRite,good and bad results,207
सुकृतस्य,sukRitasya,pious,207
सुकृतिं,sukRitiM,good deed,207
सुकृतिनः,sukRitinaH,those who are pious,207
सुकृतिनां,sukRitinaaM,of the good-doer,207
सुकृती,sukRitii,the man with good deeds,207
सुख,sukha,happiness,207
सुखं,sukhaM,easily,207
सुखः,sukhaH,and happiness,207
सुखतः,sukhataH,for happiness,207
सुखद,sukhada,the one giving comfort,207
सुखमेधते,sukhamedhate,"happiness, obtains",207
सुखलेशः,sukhaleshaH, happiness,207
सुखसम्पदाम्‌,sukhasampadaam.h,of the happiness and wealth,207
सुखस्य,sukhasya,of happiness,207
सुखानि,sukhaani,happiness thereof,207
सुखार्थिनः,sukhaarthinaH, a man seeking happiness,207
सुखासन,sukhaasana,the easy posture,207
सुखासनम्‌,sukhaasanam.h, a reclining chair or rocking chair,207
सुखिनः,sukhinaH,happy,207
सुखी,sukhii,happy,207
सुखे,sukhe,in happiness,207
सुखेन,sukhena,in transcendental happiness,207
सुखेषु,sukheshhu,in happiness,207
सुगन्धिं,sugandhiM,one that has a nice fragrance,208
सुग्रीवेशः,sugriiveshaH,master-sugrIva or the monkey king  literally meaning the one,208
सुघोषमणिपुष्पकौ,sughoshhamaNipushhpakau,the conches named Sughosa and Manipuspaka,208
सुजन,sujana,good man,208
सुत,suta,son,208
सुता,sutaa,daughter,208
सुदति,sudati,woman,208
सुदुराचारः,suduraachaaraH,one committing the most abominable actions,208
सुददेशं,sudurdarshaM,very difficult to see,208
सुदलंभः,sudurlabhaH,very rare to see,208
सुद्ष्करं,sudushhkaraM,difficult,208
सुघा,sudhaa,Nectar,208
सुधां,sudhaaM,nectar,208
सुधाकर,sudhaakar,Moon,208
सुधाखण्डः,sudhaakhaNDaH, chalk,208
सुनियमनय,suniyamanaya,with good niyama or Gyaana,208
सुनिखितं,sunishchitaM,definitely,208
सुन्दर,sundara,beautiful,208
सुन्दरीं,sundariiM,sundari in objective case,208
सुपुत्र,suputra,good son,208
सुपूजितम्‌,supuujitam.h,well worshipped,208
सुप्तजानुशिषांसन,suptajaanushirshhaasana,the supine head-knee posture,208
सुप्तपस्विमोत्तनासन,suptapaschimottanaasana,the supine back-stretching posture,208
सुप्तपादाङ्ु्टासन,suptapaadaa.ngushhThaasana,the supine big toe posture,208
सुप्तबद्धपदययासन,suptabaddhapadmaasana,the supine bound lotus posture,208
सुप्तवज्रासन,suptavajraasana,the supine thunderbolt posture,208
सुमनस्य,sumanasya,benevolence,208
सुमित्रा,sumitraa,dasharath’s wife  laxman’s mother,208
सुरगणाः,suragaNaaH,the demigods,208
सुरसङ्घाः,surasa.nghaaH,groups of demigods,208
सुराणां,suraaNaaM,of the demigods,208
सुरेन्द्र,surendra,king of gods,208
सुर्योदय,suryodaya,sun-rise,208
सुलभ,sulabha,Easy,208
सुलभः,sulabhaH,very easy to achieve,208
सुविपुलं,suvipulaM,"great , in bulk",208
सुविरूढ,suviruuDha,strongly,208
सुव्यवस्थिता,suvyavasthitaa,well organised,209
सुशील,sushiila,of good character,209
सुशीलत्व,sushiilatva,good character,209
सुशुम्ना,sushumnaa,the spinal cord,209
सुषुप्तिः,sushhuptiH,deep sleeping,209
सुषुप्तिकरण,sushhuptikaraNa,hypnosis,209
सुषुप्तीअवस्था,sushhuptiiavasthaa,the state of the mind in dreamless sleep,209
सुसुखं,susukhaM,very happy,209
सुस्मित,susmita,endowed with good smiles,209
सुहूत्‌,suhRit.h,to well-wishers by nature,209
सुज्ञानाय,suGYaanaaya, thro’ good knowledge,209
सू,suu,to produce,209
सूक्त,suukta,good words,209
सूचना,suuchanaa,suggestion,209
सूचि,suuchi, needle or pointer,209
सूचिका,suuchikaa,safety pin,209
सूची,suuchii, needle or list,209
सूचीपत्रं,suuchiipatraM, catalogue,209
सूतपुत्रः,suutaputraH,Karna,209
सूत्रचक्रम्‌,suutrachakram.h, spinning wheel or charkha,209
सूयते,suuyate,manifests,209
सूयं,suurya,sun,209
सूयं:,suuryaH,the sun,209
सूयंकान्त॒,suuryakaanta,Effulgent like Sun,209
सूयंनमस्कार,suuryanamaskaara,the homage to the sun posture,209
सूयंनारायण,suuryanaaraayaNa,used for addressing Sun,209
सू्यंवर्चस्वी,suuryavarchasvii,with the prowess and brilliance of sun,209
सूयंश्च,suuryashcha,and the Sun,209
सूर्योदयः,suuryodayaH,sunrise,209
सूक्ष्म,suukShma,minute or extremely small or keen,209
सृक्ष्मदशेकम्‌,suukShmadarshakam.h,microscope,209
सूक्ष्मशरीर,suukShmashariira,the astral body,209
सुजति,sRijati,to create,209
सुजामि,sRijaami,manifest,209
सुती,sRitii,different paths,210
सुष्टिः,sRishhTiH,creation,210
सृष्ट्वा,sRishhTvaa,creating,210
सेचननालः,sechananaalaH,a water gun used during Holi or pichkaari,210
सेतु,setu,a bridge,210
सेतुबन्धासन,setubandhaasana,the bridge posture,210
सेतुबंधनं,setuba.ndhanaM,bridging,210
सेनयोः,senayoH,of the armies,210
सेनानीनां,senaaniinaaM,of all commanders,210
सेन्द्रियमानस,sendriyamaanasa,with senses and mind,210
सेव्‌,sev.h,to serve,210
सेवक,sevaka,servant,210
सेवते,sevate,to serve,210
सेवम,sevama, apple,210
सेवया,sevayaa,by the rendering of service,210
सेवा,sevaa,service,210
सेवामहे,sevaamahe, we serve  or we do service ,210
सेवित्वं,sevitvaM,aspiring,210
सैन्यस्य,sainyasya,of the soldiers,210
सेषा,saishhaa,that feminine form,210
सोम॒,soma,The Moon,210
सोमः,somaH,the moon,210
सोमपाः,somapaaH,drinkers of soma juice,210
सोमवार,somavaara,Monday,210
सौदय॑मालिका,sau.ndaryamaalikaa,Garland of beauty,210
सौःऋद,sauHRida,friendship,210
सौचिकः,sauchikaH, tailor,210
सौदामिनी,saudaaminii, lightning,210
सौभद्रः,saubhadraH,the son of Subhadra,210
सौभाग्यवती,saubhaagyavatii,Mrs,210
सौमदत्तिः,saumadattiH,the son of Somadatta,210
सौम्यं,saumyaM,very beautiful,210
सौम्यत्वं,saumyatvaM,being without duplicity towards others,210
सौम्यवपुः,saumyavapuH,the beautiful form,210
सौरभ,saurabha,fragrance,210
सौरव्यूहः,sauravyuuhaH,the solar system,210
सौवर्णं,sauvarNa,golden,210
सौहद,sauhRida,friendship,211
सौक्ष्म्यात्‌,saukShmyaat.h,due to being subtle,211
सःऋद्‌,sHRid.h,friend,211
स्कघौ,ska.ndhau,shoulders,211
स्कन्द,skanda,a name of Kartikeya or god of war,211
स्कन्दः,skandaH,Kartikeya,211
स्कन्धः,skandhaH,shoulder,211
स्खलनशील,skhalanashiila, liable to lapse,211
स्तः,staH,is,211
स्तनभर,stanabhara,breasts that are full with milk,211
स्तब्धः,stabdhaH,impudent,211
स्तभ,stabh, to make immobile or  to stun,211
स्तम्भः,stambhaH,pillar,211
स्तम्भन,stambhana,Stationary planet,211
स्तुत,stuta,praised,211
स्तुति,stuti,praise,211
स्तुतिः,stutiH,praise,211
स्तुतिभिः,stutibhiH,with prayers,211
स्तुवंति,stuva.nti,praise or flatter,211
स्तुवन्ति,stuvanti,are singing hymns,211
स्तेनः,stenaH,thief,211
स्तेय,steya,robbery,211
स्तोत्र,stotra,hymn,211
स्तोत्रं,stotraM,hymn,211
स्तोत्रे,stotre,in composing a hymn,211
स्त्यन,styana,sloth,211
स्त्रवति,stravati, to flow,211
स्त्रियः,striyaH,women,211
स्त्रियश्चरित्रं,striyashcharitraM,the characater of a woman,211
स्त्री,strii, woman,211
स्त्रीकारक,striikaaraka,Significator of wife or partner Venus,211
स्त्रीषु,striishhu,by the womanhood,211
स्थः,sthaH,situated,211
स्थगयति,sthagayati,to stop someone,211
स्थम्बितः,sthambitaH,startled  or overwhelmed,211
स्थला,sthalaa,tiles on the floor ,211
स्था,sthaa,to stand,211
स्थाणुः,sthaaNuH,unchangeable,211
स्थान,sthaana,place or house or position,211
स्थानं,sthaanaM,place,211
स्थानक,sthaanaka,station or base,211
स्थानभ्रश्ट,sthaanabhrashTa,skidrow bum,212
स्थानि,sthaani,situated,212
स्थाने,sthaane,rightly,212
स्थापयति,sthaapayati,to put or to keep,212
स्थापयित्वा,sthaapayitvaa,placing,212
स्थालिका,sthaalikaa, plate or dish,212
स्थावर,sthaavara,not moving,212
स्थास्यति,sthaasyati,remains,212
स्थितं,sthitaM,situated,212
स्थितः,sthitaH,situated,212
स्थितधीः,sthitadhiiH,one fixed in KRishhNa consciousness,212
स्थितप्रज्ञः,sthitapraGYaH,transcendentally situated,212
स्थितप्रज्ञस्य,sthitapraG Yasya,of one who is situated in fixed KRishhNa consciousness,212
स्थिताः,sthitaaH,are situated,212
स्थितान्‌,sthitaan.h,standing,212
स्थिति,sthiti,position,212
स्थितिं,sthitiM,situation,212
स्थितिः,sthitiH,situation,212
स्थिती,sthitii,existing,212
स्थितौ,sthitau,situated,212
स्थित्वा,sthitvaa,being situated,212
स्थिर,sthira,fixed,212
स्थिरराशि,sthiraraashi,Fixed Signs,212
स्थिर,sthiraM,firm,212
स्थिरः,sthiraH,still,212
स्थिरता,sthirataa,steadiness,212
स्थिरबुद्धिः,sthirabuddhiH,self-intelligent,212
स्थिरां,sthiraaM,stable,212
स्थिराः,sthiraaH,enduring,212
स्थिराङ्कः,sthiraa NkaH,constant number  or variable,212
स्थिरैः,sthiraiH,with firm or strong limbs,212
स्थूल,stthuula, strong or  big,212
स्थूलः,sthuulaH,fat,212
स्थूलशरीर,sthuulashariira,big-bodied,212
स्थूलस्फटिकी,sthuulasphaTikii,macrocrystaline,212
स्थेयं,sthairyaM,steadfastness,212
स्नातकोत्तर,snaatakottara,post graduate,212
स्नाति,snaati,to bathe,212
स्नान,snaana,bath or  ablution,212
स्नानशील,snaanashiila,pure,213
स्नानगृहम्‌,snaanagRiham.h, bathroom,213
स्नायु,snaayu,sinew,213
स्नायुवितननं,snaayuvitananaM,sprain,213
स्निग्ध,snigdha,affectionate and also oily and greasy,213
स्निग्धाः,snigdhaaH,fatty,213
स्नुषा,snushhaa, daughter-in-law,213
स्नेहः,snehaH,friendship ,213
स्नेहात्‌,snehaat.h,from affection,213
स्नेहेन,snehena,through affection,213
स्पन्दते,spandate, to throb,213
स्पशांन्‌,sparshaan.h,sense objects or such as sound,213
स्पष्ट,spashhTa,Longitude of planet or house ,213
स्पृश,spRish,to touch,213
स्पृशति,spRishati,to touch,213
स्पृशन्‌,spRishan.h,touching,213
स्पृष्टं,spRishhTaM,touched,213
स्पृहा,spRihaa,aspiration,213
स्फोत,sphiita, prosperous,213
स्फुटित,sphuTita,overt,213
स्फुरति,sphurati, to throb,213
स्फुरित,sphurita,shining,213
स्फोतकः,sphotakaH,bomb or explosive,213
स्म,sma,an indeclinable that changes the sentence to past tense from present tense,213
स्मयते,smayate,to smile,213
स्मरति,smarati,to remember or recollect,213
स्मरन्‌,smaran.h,thinking of,213
स्मरेत्‌,smaret.h,remembers or recalls,213
स्माशन,smaashana,graveyard,213
स्मृत॒,smRita,remembered,213
स्मृतं,smRitaM,is considered,213
स्मृतः,smRitaH,is considered,213
स्मृता,smRitaa,when remembered,213
स्मृति,smRiti,of memory,213
स्मृतिः,smRitiH,memory,213
